,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,grade
445,23.4608364989,12.0851532348,15.8035418882,26.2727272727,7.51557093426,91.0,1.0,1.0,60.0,37.0,16.0,6.0,11.0,22.0,119.0,151.0,132.0,6.0,11.0,nine
446,23.7769758067,11.2086255434,15.4361516372,12.8641975309,6.93618042226,523.0,35.0,12.0,449.0,422.0,53.0,116.0,7.0,132.0,1040.0,1236.0,811.0,37.0,162.0,nine
447,24.0218293655,11.874393842,16.2583752634,13.38,7.29596412556,424.0,49.0,13.0,329.0,362.0,50.0,120.0,16.0,196.0,861.0,1074.0,901.0,32.0,150.0,nine
448,25.2056919254,12.7588612249,16.913087545,24.0892857143,7.06375092661,390.0,47.0,21.0,194.0,199.0,31.0,73.0,47.0,75.0,497.0,742.0,596.0,11.0,56.0,nine
449,21.1889459874,11.53135817,16.0866638047,18.8823529412,6.70716510903,60.0,12.0,5.0,57.0,62.0,6.0,19.0,11.0,8.0,144.0,198.0,121.0,2.0,17.0,nine
450,23.9806530719,12.044573877,15.7023790611,285.0,8.1298245614,78.0,3.0,3.0,47.0,47.0,10.0,16.0,3.0,15.0,120.0,125.0,148.0,12.0,1.0,nine
451,24.2193126778,11.9752228831,16.179723906,20.1935483871,7.00734824281,885.0,35.0,15.0,524.0,487.0,100.0,238.0,59.0,156.0,1349.0,1785.0,1306.0,39.0,155.0,nine
452,20.510215302,10.8447357236,14.9322402962,6.69696969697,6.62443438914,43.0,5.0,4.0,37.0,47.0,4.0,12.0,6.0,12.0,100.0,136.0,82.0,3.0,33.0,nine
453,23.1351417661,11.6258571326,16.2524119621,15.85,6.54574132492,36.0,3.0,4.0,39.0,70.0,2.0,40.0,15.0,20.0,151.0,193.0,118.0,6.0,20.0,nine
454,24.1462964362,12.0450568082,16.3982082797,21.1206030151,7.09707351892,1084.0,41.0,9.0,619.0,777.0,132.0,377.0,67.0,351.0,1905.0,2428.0,1720.0,55.0,199.0,nine
455,25.1928148569,12.9785835861,17.2289437267,26.9607843137,7.37818181818,447.0,19.0,10.0,226.0,254.0,34.0,71.0,34.0,55.0,585.0,652.0,711.0,12.0,51.0,nine
456,24.9305219381,12.6956794606,16.9617253726,28.9423076923,7.22458471761,472.0,12.0,11.0,168.0,250.0,58.0,89.0,48.0,118.0,565.0,834.0,646.0,25.0,52.0,nine
457,22.0389427763,12.5108505797,15.2447789379,29.2727272727,7.92546583851,107.0,2.0,1.0,64.0,43.0,11.0,19.0,1.0,9.0,137.0,144.0,169.0,9.0,11.0,nine
458,23.8553800469,12.1339506525,16.7893718005,21.5543478261,6.94402420575,515.0,29.0,21.0,277.0,377.0,81.0,138.0,37.0,130.0,873.0,1125.0,838.0,20.0,92.0,nine
459,20.1369245461,10.7364283697,14.8966990661,13.2916666667,6.65517241379,58.0,12.0,4.0,81.0,48.0,5.0,17.0,6.0,13.0,151.0,204.0,106.0,9.0,24.0,nine
460,21.5406830459,11.3060220586,15.146148121,23.0,6.97584541063,144.0,17.0,9.0,120.0,114.0,16.0,31.0,12.0,14.0,281.0,358.0,255.0,8.0,27.0,nine
461,21.538993907,12.6033805174,15.8950223955,87.3333333333,8.24809160305,59.0,3.0,2.0,46.0,35.0,11.0,6.0,0.0,31.0,98.0,104.0,151.0,7.0,3.0,nine
462,24.518635315,12.1149423883,16.4780093758,20.6106870229,7.09444444444,716.0,39.0,21.0,383.0,471.0,85.0,190.0,42.0,253.0,1129.0,1532.0,1148.0,20.0,131.0,nine
463,23.3379186995,12.3173729531,15.8770565408,24.9444444444,7.26948775056,650.0,38.0,30.0,328.0,294.0,104.0,130.0,36.0,135.0,856.0,1245.0,943.0,57.0,90.0,nine
464,22.3609267771,10.7189728932,15.3055289855,15.0,6.56888888889,38.0,13.0,1.0,47.0,46.0,3.0,9.0,10.0,15.0,105.0,135.0,85.0,5.0,15.0,nine
465,22.9704950465,12.5597379092,16.1310168922,23.3333333333,7.25238095238,54.0,4.0,0.0,38.0,21.0,7.0,3.0,5.0,24.0,69.0,124.0,82.0,4.0,9.0,nine
